JenisKelamin,StatusPernikahan,JumTanggungan,Wiraswasta,IncomeNasabah,IncomePasangan,JumlahPinjaman,JangkaWaktuPinjaman,riwayat_pinjaman,Pendidikan_Tinggi,Wilayah_Tempat_Tinggal,StatusPinjaman
Laki-laki,Sudah Menikah,3,Tidak,3992,0,128.0,180.0,memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,3500,1083,135.0,360.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3917,0,124.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,4408,0,120.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,3244,0,80.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3975,2531,55.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2479,0,59.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3418,0,127.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,0,Tidak,10000,0,214.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,3430,1250,128.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Ya,7787,0,240.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Ya,5703,0,130.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3173,3021,137.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,3850,983,100.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,150,1800,135.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3727,1775,131.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,5000,0,72.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Wanita,Sudah Menikah,2,Tidak,4283,2383,127.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2221,0,60.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,4009,1717,116.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2971,2791,144.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,7578,1010,175.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,6250,0,128.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3250,0,170.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Ya,4735,0,138.0,360.0,memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,6250,1695,210.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4758,0,158.0,480.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Ya,6400,0,200.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,2491,2054,104.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3716,0,42.0,180.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3189,2598,120.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,8333,0,280.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,3155,1779,140.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,5500,1260,170.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,5746,0,255.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Wanita,Belum Menikah,0,Ya,3463,0,122.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,1,Tidak,3812,0,112.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,3315,0,96.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,5819,5000,120.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,2510,1983,140.0,180.0,memenuhi,Ya,perkotaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,2965,5701,155.0,60.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Ya,6250,1300,108.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3406,4417,123.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Ya,6050,4333,120.0,180.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,9703,0,112.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,6608,0,137.0,180.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,2882,1843,123.0,480.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,1809,1868,90.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,1668,3890,201.0,360.0,tidak memenuhi,Ya,pedesaan,Tidak
Wanita,Belum Menikah,2,Tidak,3427,0,138.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Belum Menikah,0,Ya,2583,2167,104.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,2661,7101,279.0,180.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Ya,16250,0,192.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Wanita,Belum Menikah,3,Tidak,3083,0,255.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,6045,0,115.0,360.0,tidak memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,5250,0,94.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,14683,2100,304.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,4931,0,128.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,6083,4250,330.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2060,2209,134.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,1,Tidak,3481,0,155.0,36.0,memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,0,Tidak,7200,0,120.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Ya,5166,0,128.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,4095,3447,151.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,4708,1387,150.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,4333,1811,160.0,360.0,tidak memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,0,Tidak,3418,0,135.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,1,Tidak,2876,1560,90.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,0,Tidak,3237,0,30.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,11146,0,136.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2833,1857,126.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2620,2223,150.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3900,0,90.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,2750,1842,115.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3993,3274,207.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3103,1300,80.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,14583,0,436.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,0,Tidak,4100,0,124.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,1,Ya,4053,2426,158.0,360.0,tidak memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3927,800,112.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,2301,986,78.0,180.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,0,Tidak,1811,1666,54.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,20667,0,128.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,3158,3053,89.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Ya,2600,1717,99.0,300.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3704,2000,120.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,4124,0,115.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,9508,0,187.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3075,2416,139.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,4400,0,127.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,3153,1560,134.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,0,Tidak,5417,0,143.0,480.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2383,3334,172.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,4416,1250,110.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,6875,0,200.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,1,Tidak,4666,0,135.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,0,Tidak,5000,2541,151.0,480.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,2014,2925,113.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,1800,2934,93.0,360.0,tidak memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2875,1750,105.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,5000,0,132.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,1625,1803,96.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,4000,2500,140.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2000,0,128.0,360.0,memenuhi,Ya,perkotaan,Tidak
Wanita,Belum Menikah,0,Tidak,3762,1666,135.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,2400,1863,104.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,20233,0,480.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,7667,0,185.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,2917,0,84.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2927,2405,111.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,2507,0,56.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Ya,5746,0,144.0,84.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2473,1843,159.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,3399,1640,111.0,180.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3717,0,120.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2058,2134,88.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,1,Tidak,3541,0,112.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Ya,10000,0,155.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2400,2167,115.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,4342,189,124.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3601,1590,128.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,3166,2985,132.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,15000,0,300.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Ya,8666,4983,376.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,4917,0,130.0,360.0,tidak memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Ya,5818,2160,184.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,0,Tidak,4333,2451,110.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Wanita,Belum Menikah,0,Tidak,2500,0,67.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,1,Tidak,4384,1793,117.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2935,0,98.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2833,0,71.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,63337,0,490.0,180.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Ya,9833,1833,182.0,180.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Ya,5503,4490,70.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,5250,688,160.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Ya,2500,4600,176.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,3,Tidak,1830,0,128.0,360.0,tidak memenuhi,Ya,perkotaan,Tidak
Wanita,Belum Menikah,0,Tidak,4160,0,71.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,2647,1587,173.0,360.0,memenuhi,Ya,pedesaan,Tidak
Wanita,Belum Menikah,0,Tidak,2378,0,46.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,4554,1229,158.0,360.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,3173,0,74.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,2583,2330,125.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2499,2458,160.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3523,3230,152.0,360.0,tidak memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,3083,2168,126.0,360.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,6333,4583,259.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2625,6250,187.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,9083,0,228.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,8750,4167,308.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,2666,2083,95.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,0,Ya,5500,0,105.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Wanita,Sudah Menikah,0,Tidak,2423,505,130.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,3813,0,116.0,180.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,8333,3167,165.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,3875,0,67.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3000,1666,100.0,480.0,tidak memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,5167,3167,200.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,1,Tidak,4723,0,81.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,5000,3667,236.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4750,2333,130.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3013,3033,95.0,300.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Ya,6822,0,141.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,6216,0,133.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,2500,0,96.0,480.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,5124,0,124.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,6325,0,175.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,19730,5266,570.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,0,Ya,15759,0,55.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,5185,0,155.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Ya,9323,7873,380.0,300.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,1,Tidak,3062,1987,111.0,180.0,tidak memenuhi,Tidak,perkotaan,Tidak
Wanita,Belum Menikah,0,Tidak,2764,1459,110.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4817,923,120.0,180.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,8750,4996,130.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4310,0,130.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3069,0,71.0,480.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,5391,0,130.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3333,2500,128.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,5941,4232,296.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,6000,0,156.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Ya,7167,0,128.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,4566,0,100.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Belum Menikah,1,Tidak,3667,0,113.0,180.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2346,1600,132.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3010,3136,128.0,360.0,tidak memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2333,2417,136.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,5488,0,125.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,3,Tidak,9167,0,185.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,9504,0,275.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2583,2115,120.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,1993,1625,113.0,180.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3100,1400,113.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3276,484,135.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,3180,0,71.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3033,1459,95.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3902,1666,109.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,1500,1800,103.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,2889,0,45.0,180.0,tidak memenuhi,Ya,perkotaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,2755,0,65.0,300.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,2500,20000,103.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,1963,0,53.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Ya,7441,0,194.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,0,Tidak,4547,0,115.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2167,2400,115.0,360.0,memenuhi,Ya,perkotaan,Ya
Wanita,Belum Menikah,0,Tidak,2213,0,66.0,360.0,memenuhi,Ya,pedesaan,Ya
