JenisKelamin,StatusPernikahan,JumTanggungan,Wiraswasta,IncomeNasabah,IncomePasangan,JumlahPinjaman,JangkaWaktuPinjaman,riwayat_pinjaman,Pendidikan_Tinggi,Wilayah_Tempat_Tinggal,StatusPinjaman
Laki-laki,Sudah Menikah,1,Tidak,8300,0,152.0,300.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,81000,0,360.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,1,Ya,3867,0,62.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,6256,0,160.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,6096,0,218.0,360.0,tidak memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2253,2033,110.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Sudah Menikah,0,Tidak,2149,3237,178.0,360.0,tidak memenuhi,Ya,pedesaan,Tidak
Wanita,Belum Menikah,0,Tidak,2995,0,60.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,1,Tidak,2600,0,160.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,2,Ya,1600,20000,239.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,1025,2773,112.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3246,1417,138.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,5829,0,138.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,2720,0,80.0,360.0,tidak memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,1820,1719,100.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,7250,1667,110.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,14880,0,96.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2666,4300,121.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,1,Tidak,4606,0,81.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,5935,0,133.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2920,16,87.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2717,0,60.0,180.0,memenuhi,Ya,perkotaan,Ya
Wanita,Belum Menikah,1,Ya,8624,0,150.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,6500,0,105.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,12876,0,405.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2425,2340,143.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3750,0,100.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Sudah Menikah,0,Tidak,10047,0,128.0,240.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,1926,1851,50.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2213,1125,128.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Ya,10416,0,187.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Wanita,Sudah Menikah,0,Ya,7142,0,138.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3660,5064,187.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,7901,1833,180.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,3,Tidak,4707,1993,148.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,1,Tidak,37719,0,152.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,7333,8333,175.0,300.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Ya,3466,1210,130.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,4652,0,110.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3539,1376,55.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,3340,1710,150.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,1,Ya,2769,1542,190.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,2309,1255,125.0,360.0,tidak memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,1958,1456,60.0,300.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3948,1733,149.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2483,2466,90.0,180.0,tidak memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Ya,7085,0,84.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3859,0,96.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4301,0,118.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3708,2569,173.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Belum Menikah,2,Tidak,4354,0,136.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,8334,0,160.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Ya,2083,4083,160.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,7740,0,128.0,180.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3015,2188,153.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,1,Tidak,5191,0,132.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,4166,0,98.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,6000,0,140.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,2947,1664,70.0,180.0,tidak memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,16692,0,110.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,2,Tidak,210,2917,98.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4333,2451,110.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,1,Ya,3450,2079,162.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,2653,1500,113.0,180.0,tidak memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,4691,0,100.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Ya,2500,0,93.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,2,Tidak,5532,4648,162.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Ya,16525,1014,150.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,6700,1750,230.0,300.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,2873,1872,132.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Ya,16667,2250,86.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,2947,1603,128.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Wanita,Belum Menikah,0,Tidak,4350,0,154.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,3095,0,113.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2083,3150,128.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,10833,0,234.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,8333,0,246.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,1958,2436,131.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,2,Tidak,3547,0,80.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,18333,0,500.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,2,Ya,4583,2083,160.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2435,0,75.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,2699,2785,96.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,5333,1131,186.0,360.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3691,0,110.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Ya,17263,0,225.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3597,2157,119.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Wanita,Sudah Menikah,1,Tidak,3326,913,105.0,84.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2600,1700,107.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4625,2857,111.0,12.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Ya,2895,0,95.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,6283,4416,209.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,0,Tidak,645,3683,113.0,480.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,3159,0,100.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,4865,5624,208.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,4050,5302,138.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3814,1483,124.0,300.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3510,4416,243.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,20833,6667,480.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3583,0,96.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Ya,2479,3013,188.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,1,Tidak,13262,0,40.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3598,1287,100.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,6065,2004,250.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3283,2035,148.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2130,6666,70.0,180.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,5815,3666,311.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,3466,3428,150.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,2,Tidak,2031,1632,113.0,480.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3074,1800,123.0,360.0,tidak memenuhi,Ya,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,4683,1915,185.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,0,Tidak,3400,0,95.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,2192,1742,45.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2500,0,55.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Ya,5677,1424,100.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Ya,7948,7166,480.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,4680,2087,128.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Ya,17500,0,400.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3775,0,110.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,5285,1430,161.0,360.0,tidak memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,1,Tidak,2679,1302,94.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,6783,0,130.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,1025,5500,216.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,4281,0,100.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,2,Tidak,3588,0,110.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,1,Tidak,11250,0,196.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,0,Ya,18165,0,125.0,360.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2550,2042,126.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,6133,3906,324.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,2,Tidak,3617,0,107.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2917,536,66.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,6417,0,157.0,180.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,1,Tidak,4608,2845,140.0,180.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,2138,0,99.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,1,Tidak,3652,0,95.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,2239,2524,128.0,360.0,memenuhi,Ya,perkotaan,Ya
Wanita,Sudah Menikah,0,Tidak,3017,663,102.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2768,1950,155.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3358,0,80.0,36.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,2526,1783,145.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,5000,0,103.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2785,2016,110.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Ya,6633,0,128.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,2492,2375,128.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,3333,3250,158.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2454,2333,181.0,360.0,tidak memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3593,4266,132.0,180.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,5468,1032,26.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,2667,1625,84.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Ya,10139,0,260.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3887,2669,162.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,0,Tidak,4180,2306,182.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3675,242,108.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Sudah Menikah,1,Ya,19484,0,600.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,5923,2054,211.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Ya,5800,0,132.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,8799,0,258.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,4467,0,120.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3333,0,70.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,3400,2500,123.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,0,Tidak,2378,0,9.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3166,2064,104.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,3417,1750,186.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,5116,1451,165.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,16666,0,275.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,6125,1625,187.0,480.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,6406,0,150.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,3159,461,108.0,84.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3087,2210,136.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,3229,2739,110.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,1782,2232,107.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3182,2917,161.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,6540,0,205.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,1836,33837,90.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Wanita,Sudah Menikah,0,Tidak,3166,0,36.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,1880,0,61.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,2787,1917,146.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,4283,3000,172.0,84.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2297,1522,104.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,0,Tidak,2165,0,70.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,4750,0,94.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Ya,2726,0,106.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3000,3416,56.0,180.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Ya,6000,0,205.0,240.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,3,Ya,9357,0,292.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3859,3300,142.0,180.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Ya,16120,0,260.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3833,0,110.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Ya,6383,1000,187.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,2987,0,88.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Ya,9963,0,180.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,5780,0,192.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,3,Tidak,416,41667,350.0,180.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2894,2792,155.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,5703,0,128.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3676,4301,172.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,1,Tidak,12000,0,496.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2400,3800,128.0,180.0,memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,3400,2500,173.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3987,1411,157.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3232,1950,108.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,2900,0,71.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,4106,0,40.0,180.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,8072,240,253.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,7583,0,187.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,0,Ya,4583,0,133.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
